Timestamp,Node_ID,Node_Type,Temperature_C,Humidity_%,Energy_Level_J,Data_Packet_Size_kB,Signal_Strength_dBm,Transmission_Delay_ms,Event_Triggered,Cluster_ID,Fault_Status
2023-01-01 00:21:00,37,Secondary,22.648585903514316,63.17746893910941,25.713739067420015,6.238645704067091,-71.86735580673259,72.23094879723118,0,13,Normal
2023-01-01 01:54:00,50,Primary,26.429687493528174,56.051358568589464,83.81143813166487,3.73947878804944,-39.87090120112781,40.63720880213143,1,17,Normal
2023-01-01 03:32:00,63,Secondary,21.91977800446812,71.12316580959262,61.907769623839116,8.894422801958786,-41.46812045808426,38.10510253444904,0,3,Warning
2023-01-01 05:49:00,63,Secondary,20.321322646372124,52.11340055283156,52.07361135551312,7.618135456623806,-37.772714925616455,79.35341803669886,0,8,Normal
2023-01-01 09:46:00,52,Primary,28.300113323850642,62.25861815038504,32.44619141241,7.495535986052957,-38.29083624271296,59.24293251499127,1,19,Normal
2023-01-01 10:00:00,53,Secondary,24.51206992772458,71.37550324891671,16.974463871289586,7.0894790668831265,-43.89688634748857,96.5919864070826,0,8,Normal
2023-01-01 13:31:00,48,Secondary,32.381832858097,62.225705523816714,70.21204441263887,6.580949706827624,-68.80622459623365,32.60066318928426,0,12,Normal
2023-01-01 14:08:00,28,Primary,25.20580053031333,68.01073831456686,71.77030695279885,8.617087796634554,-49.053685834346254,45.064334470454924,0,13,Normal
2023-01-01 17:51:00,13,Secondary,29.63657675306543,57.034056042973,92.04323738976836,5.413294477779028,-44.623456328396536,74.09781673171821,0,11,Normal
2023-01-01 18:49:00,70,Secondary,19.558409731075805,54.73691378088381,15.47011621636027,6.869228420024916,-58.49975880907283,53.804905094643395,0,2,Normal
2023-01-02 02:49:00,63,Secondary,30.11513080043015,63.649234399858805,73.03767182492615,8.138080463984117,-68.45658396452578,33.77401669787857,0,18,Normal
2023-01-02 06:50:00,6,Secondary,31.846169172557158,66.85439872667375,44.28336118245612,2.6150139344507024,-51.241632627596736,6.80693075080166,1,18,Normal
2023-01-02 07:56:00,90,Secondary,31.748374796046804,66.84724631443542,84.17755414319984,3.693285220813224,-78.89177803932532,14.596501967365747,0,12,Normal
